"day","T","...3"
1173.5,295.65,NA
1174,307.65,NA
1174.5,297.3500008,NA
1175,307.65,NA
1178,307.9499992,NA
1180,307.65,NA
1183,308.0500015,NA
1183.5,300.15,NA
1184,307.65,NA
1184.5,299.15,NA
1189,306.2499985,NA
1190,305.3500008,NA
1194,307.5500015,NA
1195,308.2499985,NA
1196,306.15,NA
1199,307.0500015,NA
1201,304.15,NA
1203,308.0500015,NA
1205,305.8500008,NA
1206,303.65,NA
1212,306.65,NA
1215,305.15,NA
1216,305.65,NA
1217,306.65,NA
1218,304.5499996,NA
1219,305.0499996,NA
1221,304.65,NA
1224,302.9499992,NA
1225,305.65,NA
1226,306.65,NA
1227,306.15,NA
1229,305.7499985,NA
1231,305.15,NA
1233,306.2499985,NA
1237,304.15,NA
1239,304.65,NA
1241,304.15,NA
1242,303.65,NA
1253,300.8500008,NA
1254,304.15,NA
1258,301.3500008,NA
1261,300.65,NA
1262,303.65,NA
1264,302.65,NA
1266,304.15,NA
1267,302.65,NA
1268,299.65,NA
1269,300.15,NA
1272,304.4499992,NA
1273,301.2500004,NA
1274,300.5499996,NA
1275,302.15,NA
1276,302.9499992,NA
1277,301.15,NA
1279,302.7500004,NA
1281,302.15,NA
1286,300.65,NA
1287,302.15,NA
1288,301.7500004,NA
1290,303.15,NA
1291,299.8500008,NA
1293,302.2500004,NA
1294,302.65,NA
1295,302.65,NA
1296,302.15,NA
1299,302.3500008,NA
1300,301.65,NA
1301,301.65,NA
1302,302.0499996,NA
1303,302.8500008,NA
1304,300.15,NA
1306,300.65,NA
1307,300.4499992,NA
1308,301.0499996,NA
1309,301.7500004,NA
1310,301.15,NA
1311,299.15,NA
1313,302.15,NA
1315,301.5499996,NA
1317,299.15,NA
1318,301.65,NA
1319,300.3500008,NA
1320,301.65,NA
1322,299.7500004,NA
1324,300.4499992,NA
1325,300.65,NA
1326,300.15,NA
1328,299.15,NA
1329,300.65,NA
1329.5,296.15,NA
1330,301.65,NA
1335,300.7500004,NA
1336,301.3500008,NA
1337,301.15,NA
1338,301.15,NA
1340,301.15,NA
1341,302.15,NA
1342,300.15,NA
1343,300.0499996,NA
1345,303.15,NA
1350,302.15,NA
1351,302.65,NA
1354,302.7500004,NA
1355,302.5499996,NA
1356,303.15,NA
1357,298.5499996,NA
1358,302.65,NA
1359,303.2500004,NA
1360,302.15,NA
1362,303.15,NA
1366,303.15,NA
1368.5,295.65,NA
1369,301.5499996,NA
1370,303.2500004,NA
1371,304.15,NA
1372,303.7500004,NA
1372.5,296.65,NA
1373,303.15,NA
1374,302.15,NA
1374.5,296.65,NA
1375,303.7500004,NA
1376,304.15,NA
1377.5,296.15,NA
1378,303.3500008,NA
1378.5,295.7500004,NA
1380,303.9499992,NA
1380.5,295.5499996,NA
1383,303.15,NA
1384,305.15,NA
1385,304.15,NA
1389,304.65,NA
1390,304.7500004,NA
1391,304.65,NA
1393,304.15,NA
1394,303.15,NA
1395,303.65,NA
1396,305.0499996,NA
1400,303.9499992,NA
1401,305.65,NA
1402.5,297.9499992,NA
1404,305.15,NA
1405.5,297.65,NA
1406.5,297.0499996,NA
1408,304.65,NA
1409,304.3500008,NA
1409.5,298.15,NA
1410,304.5499996,NA
1410.5,297.3500008,NA
1411,304.65,NA
1412.5,297.9499992,NA
1413,303.7500004,NA
1414,304.2500004,NA
1414.5,294.65,NA
1415,305.5500015,NA
1415.5,297.0499996,NA
1416,305.15,NA
1417.5,297.15,NA
1418,302.8500008,NA
1418.5,298.15,NA
1419,304.0499996,NA
1419.5,297.65,NA
1420,304.7500004,NA
1420.5,297.65,NA
1421,303.3500008,NA
1421.5,297.7500004,NA
1423.5,297.65,NA
1424,304.65,NA
1425,305.3500008,NA
1430,305.15,NA
1432,303.4499992,NA
1433,304.65,NA
1433.5,296.65,NA
1434.5,297.15,NA
1435,305.7499985,NA
1437.5,297.65,NA
1438.5,297.65,NA
1439.5,297.65,NA
1440.5,296.3500008,NA
1442.5,295.65,NA
1443.5,294.15,NA
1444.5,294.15,NA
1445,305.15,NA
1445.5,294.65,NA
1446.5,296.5499996,NA
1447.5,297.65,NA
1448,305.15,NA
1448.5,299.9499992,NA
1450,305.9499992,NA
1451,306.15,NA
1452.5,298.5499996,NA
1453,306.15,NA
1453.5,298.65,NA
1454,306.2499985,NA
1454.5,297.15,NA
1455,305.15,NA
1455.5,297.3500008,NA
1456,306.15,NA
1456.5,298.0499996,NA
1457,305.65,NA
1457.5,298.15,NA
1458,306.15,NA
1461,306.65,NA
1461.5,297.15,NA
1462,307.65,NA
1462.5,297.65,NA
1463.5,297.65,NA
1465,305.15,NA
1465.5,297.7500004,NA
1466,303.15,NA
1467,305.15,NA
