"day","time","latitude","longitude","T"
16553,2070-04-28,12.7225130890052,358.75,300.60498
16553.5,2070-04-28,12.7225130890052,358.75,308.84457
16554,2070-04-29,12.7225130890052,358.75,301.31308
16554.5,2070-04-29,12.7225130890052,358.75,306.8712
16555,2070-04-30,12.7225130890052,358.75,299.98517
16555.5,2070-04-30,12.7225130890052,358.75,302.51895
16556,2070-05-01,12.7225130890052,358.75,300.0746
16556.5,2070-05-01,12.7225130890052,358.75,303.7032
16557,2070-05-02,12.7225130890052,358.75,300.1369
16557.5,2070-05-02,12.7225130890052,358.75,305.23508
16558,2070-05-03,12.7225130890052,358.75,300.579
16558.5,2070-05-03,12.7225130890052,358.75,307.2778
16559,2070-05-04,12.7225130890052,358.75,301.64584
16559.5,2070-05-04,12.7225130890052,358.75,308.92398
16560,2070-05-05,12.7225130890052,358.75,301.41528
16560.5,2070-05-05,12.7225130890052,358.75,309.60046
16561,2070-05-06,12.7225130890052,358.75,301.62997
16561.5,2070-05-06,12.7225130890052,358.75,308.30713
16562,2070-05-07,12.7225130890052,358.75,302.2672
16562.5,2070-05-07,12.7225130890052,358.75,309.20825
16563,2070-05-08,12.7225130890052,358.75,302.0988
16563.5,2070-05-08,12.7225130890052,358.75,309.6443
16564,2070-05-09,12.7225130890052,358.75,302.2233
16564.5,2070-05-09,12.7225130890052,358.75,309.5628
16565,2070-05-10,12.7225130890052,358.75,302.46835
16565.5,2070-05-10,12.7225130890052,358.75,311.59955
16566,2070-05-11,12.7225130890052,358.75,303.0625
16566.5,2070-05-11,12.7225130890052,358.75,312.4535
16567,2070-05-12,12.7225130890052,358.75,303.52063
16567.5,2070-05-12,12.7225130890052,358.75,312.7368
16568,2070-05-13,12.7225130890052,358.75,304.12994
16568.5,2070-05-13,12.7225130890052,358.75,311.88892
16569,2070-05-14,12.7225130890052,358.75,302.87778
16569.5,2070-05-14,12.7225130890052,358.75,307.7722
16570,2070-05-15,12.7225130890052,358.75,303.17883
16570.5,2070-05-15,12.7225130890052,358.75,307.17416
16571,2070-05-16,12.7225130890052,358.75,302.7841
16571.5,2070-05-16,12.7225130890052,358.75,311.80536
16572,2070-05-17,12.7225130890052,358.75,302.37018
16572.5,2070-05-17,12.7225130890052,358.75,311.93903
16573,2070-05-18,12.7225130890052,358.75,302.49207
16573.5,2070-05-18,12.7225130890052,358.75,311.09738
16574,2070-05-19,12.7225130890052,358.75,302.99768
16574.5,2070-05-19,12.7225130890052,358.75,307.40567
16575,2070-05-20,12.7225130890052,358.75,302.38892
16575.5,2070-05-20,12.7225130890052,358.75,311.08365
16576,2070-05-21,12.7225130890052,358.75,303.42828
16576.5,2070-05-21,12.7225130890052,358.75,308.43695
16577,2070-05-22,12.7225130890052,358.75,302.6424
16577.5,2070-05-22,12.7225130890052,358.75,314.0786
16578,2070-05-23,12.7225130890052,358.75,302.6747
16578.5,2070-05-23,12.7225130890052,358.75,311.44232
16579,2070-05-24,12.7225130890052,358.75,302.69183
16579.5,2070-05-24,12.7225130890052,358.75,312.03647
16580,2070-05-25,12.7225130890052,358.75,302.6613
16580.5,2070-05-25,12.7225130890052,358.75,309.1007
16581,2070-05-26,12.7225130890052,358.75,302.48346
16581.5,2070-05-26,12.7225130890052,358.75,306.26956
16582,2070-05-27,12.7225130890052,358.75,302.46872
16582.5,2070-05-27,12.7225130890052,358.75,310.78458
16583,2070-05-28,12.7225130890052,358.75,301.86884
16583.5,2070-05-28,12.7225130890052,358.75,309.37753
16584,2070-05-29,12.7225130890052,358.75,303.2143
16584.5,2070-05-29,12.7225130890052,358.75,310.09338
16585,2070-05-30,12.7225130890052,358.75,302.57
16585.5,2070-05-30,12.7225130890052,358.75,310.61652
16586,2070-05-31,12.7225130890052,358.75,304.10544
16586.5,2070-05-31,12.7225130890052,358.75,311.99615
16587,2070-06-01,12.7225130890052,358.75,303.4199
16587.5,2070-06-01,12.7225130890052,358.75,310.81223
16588,2070-06-02,12.7225130890052,358.75,303.10144
16588.5,2070-06-02,12.7225130890052,358.75,310.2921
16589,2070-06-03,12.7225130890052,358.75,303.6686
16589.5,2070-06-03,12.7225130890052,358.75,311.61685
16590,2070-06-04,12.7225130890052,358.75,302.93604
16590.5,2070-06-04,12.7225130890052,358.75,313.0858
16591,2070-06-05,12.7225130890052,358.75,301.59665
16591.5,2070-06-05,12.7225130890052,358.75,312.49728
16592,2070-06-06,12.7225130890052,358.75,301.04404
16592.5,2070-06-06,12.7225130890052,358.75,312.48254
16593,2070-06-07,12.7225130890052,358.75,300.49954
16593.5,2070-06-07,12.7225130890052,358.75,311.9327
16594,2070-06-08,12.7225130890052,358.75,300.87582
16594.5,2070-06-08,12.7225130890052,358.75,311.68848
16595,2070-06-09,12.7225130890052,358.75,302.73495
16595.5,2070-06-09,12.7225130890052,358.75,310.2913
16596,2070-06-10,12.7225130890052,358.75,303.7979
16596.5,2070-06-10,12.7225130890052,358.75,311.9064
16597,2070-06-11,12.7225130890052,358.75,301.43552
16597.5,2070-06-11,12.7225130890052,358.75,310.5477
16598,2070-06-12,12.7225130890052,358.75,299.3014
