period,yr,month,days,total_days,model,emissions,Tmin,Tmax,Tave,T_K,Prec_mm,Tmin_rollMean,Tmin_rollSD,Tmax_rollMean,Tmax_rollSD
historical,1969,4,2985,2985,CGCM3.1 (T47),High (A2),5.5579664,16.6072087,11.08258755,284.2325876,,7.64661647,1.72775523,17.8955531,1.3104483
historical,1969,5,3015,3015,CGCM3.1 (T47),High (A2),13.5599241,23.4051635,18.4825438,291.6325438,,8.08190594,1.72689672,17.9572924,1.27011152
historical,1969,6,3045,3045,CGCM3.1 (T47),High (A2),17.2579722,26.0916076,21.6747899,294.8247899,,8.11414285,1.71572361,17.9973153,1.29123718
historical,1969,7,3075,3075,CGCM3.1 (T47),High (A2),23.1467793,29.2394692,26.19312425,299.3431243,,7.97039746,1.65340269,17.7139667,1.29019763
historical,1969,8,3105,3105,CGCM3.1 (T47),High (A2),20.813953,28.9196486,24.8668008,298.0168008,,7.76168896,1.63729661,17.4604032,1.45717044
historical,1969,9,3135,3135,CGCM3.1 (T47),High (A2),19.2471564,25.7820925,22.51462445,295.6646245,,8.16447842,1.58510989,17.6912526,1.50872161
historical,1969,10,3165,3165,CGCM3.1 (T47),High (A2),10.2471678,20.943846,15.5955069,288.7455069,,8.16484952,1.58510137,17.85821,1.63583391
historical,1969,11,3195,3195,CGCM3.1 (T47),High (A2),6.78870778,14.5287322,10.65871999,283.80872,,8.33373659,1.54350054,18.1535531,1.60815921
historical,1969,12,3225,3225,CGCM3.1 (T47),High (A2),-1.7737886,6.94770436,2.58695788,275.7369579,,8.59391479,1.20980161,18.3417947,1.42931596
historical,1970,1,3255,3255,CGCM3.1 (T47),High (A2),-4.4560242,3.638394008,-0.408815096,272.7411849,,8.64768572,1.26150269,18.3249741,1.41356358
historical,1970,2,3285,3285,CGCM3.1 (T47),High (A2),-0.1329605,8.59213569,4.229587595,277.3795876,,8.81496687,1.14615707,18.1695048,1.46489038
historical,1970,3,3315,3315,CGCM3.1 (T47),High (A2),4.18379215,10.77764587,7.48071901,280.630719,,8.64502317,1.07385038,18.0690304,1.43385984
historical,1970,4,3345,3345,CGCM3.1 (T47),High (A2),8.12954379,17.9446903,13.03711705,286.187117,,8.52008255,0.93928838,18.0665183,1.43498092
historical,1970,5,3375,3375,CGCM3.1 (T47),High (A2),14.2264375,24.7732356,19.49983655,292.6498366,,8.55158609,0.91576565,18.0451529,1.42448325
historical,1970,6,3405,3405,CGCM3.1 (T47),High (A2),17.4180609,26.0915346,21.75479775,294.9047978,,8.62854329,0.89224455,18.2143516,1.30192977
historical,1970,7,3435,3435,CGCM3.1 (T47),High (A2),22.0359111,29.3762105,25.7060608,298.8560608,,8.73630608,0.70589924,18.441366,0.91731876
historical,1970,8,3465,3465,CGCM3.1 (T47),High (A2),23.0693772,30.8810438,26.9752105,300.1252105,,8.61107164,0.60163981,18.3708474,0.9349819
historical,1970,9,3495,3495,CGCM3.1 (T47),High (A2),18.0205484,23.8875609,20.95405465,294.1040547,,8.66412117,0.61282658,18.2141391,0.84094798
historical,1970,10,3525,3525,CGCM3.1 (T47),High (A2),14.7905445,20.2693685,17.5299565,290.6799565,,8.64365163,0.6518417,18.0543942,0.738746
historical,1970,11,3555,3555,CGCM3.1 (T47),High (A2),5.59064891,14.25947,9.925059455,283.0750595,,8.69422218,0.68690973,18.0662698,0.79711165
historical,1970,12,3585,3585,CGCM3.1 (T47),High (A2),-1.7376906,5.95760261,2.109956005,275.259956,,8.47715591,0.41282534,17.8354767,0.56127924
historical,1971,1,3615,3615,CGCM3.1 (T47),High (A2),-7.3778304,1.250880739,-3.06347483,270.0865252,,13.2976294,0.99730949,22.7109835,1.06542766
historical,1971,2,3645,3645,CGCM3.1 (T47),High (A2),-3.9374977,3.80768836,-0.06490467,273.0850953,,13.5049364,1.06286798,22.9309342,1.13339968
historical,1971,3,3675,3675,CGCM3.1 (T47),High (A2),-0.1038341,8.650970275,4.273568088,277.4235681,,13.6277493,1.04353651,22.8967087,1.05378002
historical,1971,4,3705,3705,CGCM3.1 (T47),High (A2),6.97011976,16.2433246,11.60672218,284.7567222,,13.6202132,0.9764008,22.9532037,1.00018545
historical,1971,5,3735,3735,CGCM3.1 (T47),High (A2),15.0986801,25.2241478,20.16141395,293.311414,,13.6808356,0.94030878,23.1352069,1.10474894
historical,1971,6,3765,3765,CGCM3.1 (T47),High (A2),17.6276784,26.5865351,22.10710675,295.2571068,,13.8097305,0.98919944,23.3251106,1.22275134
historical,1971,7,3795,3795,CGCM3.1 (T47),High (A2),23.9684607,31.0611165,27.5147886,300.6647886,,13.7733717,0.9688669,23.366756,1.25312117
historical,1971,8,3825,3825,CGCM3.1 (T47),High (A2),23.4740568,30.2702913,26.87217405,300.0221741,,13.6127219,0.98015563,23.2720125,1.2887786
historical,1971,9,3855,3855,CGCM3.1 (T47),High (A2),19.2622289,26.3921861,22.8272075,295.9772075,,13.7889653,0.94523926,23.3218737,1.31414262
historical,1971,10,3885,3885,CGCM3.1 (T47),High (A2),10.2804664,19.1053786,14.6929225,287.8429225,,13.8842298,0.87596181,23.5938956,1.2135518
historical,1971,11,3915,3915,CGCM3.1 (T47),High (A2),3.28855119,12.9627364,8.125643795,281.2756438,,13.9673889,0.85847331,23.7280899,1.10898027
historical,1971,12,3945,3945,CGCM3.1 (T47),High (A2),-1.3598715,7.00738854,2.82375852,275.9737585,,14.1402878,0.63057906,23.8992733,0.87959892
historical,1972,1,3975,3975,CGCM3.1 (T47),High (A2),-3.2981136,5.763404665,1.232645532,274.3826455,,14.1018538,0.60202002,23.8599949,0.87195336
historical,1972,2,4005,4005,CGCM3.1 (T47),High (A2),-6.1629578,1.71333005,-2.224813875,270.9251861,,14.054675,0.58897459,24.0000251,0.77809612
historical,1972,3,4035,4035,CGCM3.1 (T47),High (A2),0.85568079,9.900745286,5.378213038,278.528213,,14.2460184,0.73577044,24.0887944,0.75890806
historical,1972,4,4065,4065,CGCM3.1 (T47),High (A2),5.42769748,15.9006074,10.66415244,283.8141524,,14.2335325,0.73729971,23.9238763,0.79170087
historical,1972,5,4095,4095,CGCM3.1 (T47),High (A2),14.089298,24.3956769,19.24248745,292.3924875,,14.0377372,0.76983289,23.5998141,0.92463968
historical,1972,6,4125,4125,CGCM3.1 (T47),High (A2),18.3526561,27.9282792,23.14046765,296.2904677,,13.8995905,0.88707493,23.4449187,0.92069037
