month,yr,days,Tmin,Tmax,Tave,T_K,Prec_mm
3,1986,9075,22.7832145,36.7434185,29.7633165,302.9133165,8.24034226
4,1986,9105,23.498676,32.9440828,28.2213794,301.3713794,53.1631704
5,1986,9135,23.727756,34.3338633,29.03080965,302.1808097,11.9151641
6,1986,9165,23.1702416,33.1407697,28.15550565,301.3055057,1.34960631
7,1986,9195,21.8928356,29.3025366,25.5976861,298.7476861,4.02395347
8,1986,9225,21.3927564,29.9969749,25.69486565,298.8448657,3.57170672
9,1986,9255,21.0100474,31.3254908,26.1677691,299.3177691,9.49777632
10,1986,9285,22.2219246,30.8380437,26.52998415,299.6799842,20.4182047
11,1986,9315,19.3958251,32.5324885,25.9641568,299.1141568,1.40666513
12,1986,9345,17.4067919,31.4609408,24.43386635,297.5838664,3.874035
1,1987,9375,16.79501059,32.5422622,24.6686364,297.8186364,38.9837883
2,1987,9405,20.1342321,33.2008537,26.6675429,299.8175429,22.5743144
3,1987,9435,22.5655016,36.5692797,29.56739065,302.7173907,30.7260546
4,1987,9465,23.691273,38.1908708,30.9410719,304.0910719,25.7679507
5,1987,9495,24.156447,36.1028298,30.1296384,303.2796384,57.1509431
6,1987,9525,22.7112788,32.1333233,27.42230105,300.5723011,47.423529
7,1987,9555,22.3473418,31.5063249,26.92683335,300.0768334,3.91682299
8,1987,9585,21.5432965,29.7562391,25.6497678,298.7997678,3.69643204
9,1987,9615,21.9784261,29.8432458,25.91083595,299.060836,25.2559144
10,1987,9645,20.0525979,33.3205848,26.68659135,299.8365914,17.7324603
11,1987,9675,18.4133382,33.034601,25.7239696,298.8739696,20.0072319
12,1987,9705,17.9110088,32.2463951,25.07870195,298.228702,1.41604626
1,1988,9735,17.16680565,32.4203398,24.79357272,297.9435727,28.4257125
2,1988,9765,19.8843725,36.0764122,27.98039235,301.1303924,44.0947379
3,1988,9795,21.8451783,38.4011471,30.1231627,303.2731627,5.73869311
4,1988,9825,25.6582508,37.7144597,31.68635525,304.8363553,12.3708479
5,1988,9855,24.034726,33.8044864,28.9196062,302.0696062,8.63054459
6,1988,9885,22.9936721,32.5652032,27.77943765,300.9294377,15.0454291
7,1988,9915,22.4618098,29.8359996,26.1489047,299.2989047,0.45272158
8,1988,9945,21.9408349,29.8943342,25.91758455,299.0675846,0.28813586
9,1988,9975,21.6527819,30.9364523,26.2946171,299.4446171,0.43630299
10,1988,10005,21.4944477,33.4617822,27.47811495,300.628115,6.58596657
11,1988,10035,20.4969254,34.0994104,27.2981679,300.4481679,0.51896986
12,1988,10065,18.0669277,33.3017335,25.6843306,298.8343306,3.32115911
1,1989,10095,18.4202531,33.5845039,26.0023785,299.1523785,15.6718383
2,1989,10125,20.4696225,36.0060959,28.2378592,301.3878592,0.05789893
3,1989,10155,23.7589904,35.6987509,29.72887065,302.8788707,19.9266535
4,1989,10185,24.1068846,37.369947,30.7384158,303.8884158,0.42237296
5,1989,10215,24.8367696,35.9319312,30.3843504,303.5343504,0.21902665
6,1989,10245,23.0523633,31.1086348,27.08049905,300.2304991,3.86823654
7,1989,10275,22.0116336,30.4677344,26.239684,299.389684,0.26279512
8,1989,10305,21.7578736,29.7186543,25.73826395,298.888264,9.17171883
9,1989,10335,21.8167713,30.917661,26.36721615,299.5172162,19.1571871
10,1989,10365,21.469817,34.0995888,27.7847029,300.9347029,1.74464589
11,1989,10395,20.0068005,35.3553918,27.68109615,300.8310962,1.22529338
12,1989,10425,17.912822,34.9116203,26.41222115,299.5622212,2.6667975
1,1990,10455,17.16523059,32.6734002,24.9193154,298.0693154,0.55590344
2,1990,10485,19.4185249,35.9406901,27.6796075,300.8296075,0.99619128
3,1990,10515,23.0534705,37.873787,30.46362875,303.6136288,2.72179187
4,1990,10545,22.6358362,37.2461904,29.9410133,303.0910133,6.36095165
5,1990,10575,24.7067663,34.1251492,29.41595775,302.5659578,0.78322522
6,1990,10605,22.7075792,34.5365279,28.62205355,301.7720536,0.3432769
7,1990,10635,22.5496096,31.202835,26.8762223,300.0262223,27.1302021
8,1990,10665,22.1331789,28.7496083,25.4413936,298.5913936,2.13205163
9,1990,10695,21.3814664,31.7715943,26.57653035,299.7265304,9.10418961
10,1990,10725,21.0791923,32.809169,26.94418065,300.0941807,1.54067868
11,1990,10755,19.5624544,33.6093939,26.58592415,299.7359242,3.94199173
12,1990,10785,16.9619531,32.7271371,24.8445451,297.9945451,5.02626472
